@relation 'Graduation trends - generated data - not real students'

@attribute initialMajor {ART,CRIM,COMP,NURS,PHYS,ATRA,ENSS,MECE,BIOL,ENV,ZOOL}
@attribute ACT numeric
@attribute HSGPA numeric
@attribute actMath numeric
@attribute graduateInInitialMajor {0,1}

@data
CRIM,20.82833354722901,3.500455065346446,19.880352517461645,1
BIOL,25.23708044799498,3.576034342071746,23.61163464093812,1
NURS,26.79017887272509,2.451110850040415,24.646912572053996,0
ART,23.65361046012983,3.1008621935576994,22.54856769332921,0
ART,20.547081225148606,2.2981957757802944,18.453861441563014,0
NURS,20.342988613598862,3.2901415985976286,22.252999757203366,1
ZOOL,26.99987036340764,3.1955136354112827,18.49410179702275,0
ART,23.9307101996878,3.0586367787189577,27.090159487223122,0
ZOOL,18.853022500090603,3.4829183123924716,30.889235428199285,1
ENV,23.79223291635917,3.1521698064019628,27.764568807777557,0
ZOOL,27.1966240237733,3.4692585856223714,19.68300221667837,0
ZOOL,21.900057140109276,4.486218732800585,25.507221909077103,0
ART,22.740312128568732,2.925266066878519,19.602653658474004,0
CRIM,21.21188185500184,3.4920353258693053,26.96288166847208,1
NURS,24.88942946034971,3.513185216736225,16.272931658254436,0
BIOL,27.385395690903643,3.3356457267819937,22.51996860598907,1
COMP,25.479398136479915,1.222815703670975,28.248368218858776,0
MECE,26.789808373932292,4.801794281478214,21.564994141820026,1
ART,20.752966399130294,3.3659232328537585,21.655968133396907,0
ENV,19.346465479718866,3.048174265661147,26.083609515512872,0
NURS,19.281319916219175,3.051068926936145,18.470685260438138,1
ATRA,24.656247193134263,4.0917119756591855,18.143151700767877,0
NURS,19.51824842245585,3.792042038757068,24.532839381820416,1
CRIM,18.49750012870502,3.821005496140633,17.744797399665572,0
ART,26.448714759883025,4.01127734145755,21.054794544951058,0
ART,17.57041095796573,2.394790000720486,12.274559866676245,0
NURS,25.462028407585922,3.416280594127809,20.506295946888102,0
ART,25.908007005325622,3.8951008018891127,20.332164378649317,1
COMP,15.6424884928997,2.9308400527062473,17.841858160622003,0
CRIM,24.3711801452082,3.6460941215604326,29.88806820832956,1
CRIM,19.5749189862151,3.485810969505817,19.183403409278977,0
ZOOL,28.878707789952244,3.906917855921253,17.91186361755446,1
ENSS,25.07533507677998,4.048234555627122,20.59665782012596,1
ART,23.141299896633488,2.393071587724473,17.80314525803452,0
ART,21.64348323556634,3.3824665174764585,23.9515369343472,1
ART,21.385651475045613,3.1096955218385363,17.734309146184493,0
ENV,22.27652499774356,4.270452471253625,15.641506979210906,0
BIOL,24.06549782849133,3.0101087407103937,22.99499849680247,1
ART,23.523919430866204,3.177896255603658,25.296360516860002,0
ENV,27.357307050580427,3.9672023266895398,26.606798129639195,1
CRIM,23.300576179794106,3.488385110509565,18.67210949171816,1
NURS,20.31322786943635,2.868572597749931,30.1894061830298,0
COMP,22.0479219052099,3.0788231090743334,23.507777872304725,1
BIOL,18.417879938410127,1.753778078433245,24.463238632130064,0
ART,22.244038456232587,3.4532497187146234,22.695195345948967,1
ART,18.76360803148858,3.394100136565728,25.484429936634626,0
PHYS,25.273775146658057,3.1905230830707167,23.304072551182294,0
ART,19.36735077114455,2.5857482429504453,21.365298446598295,0
